Instance,Method,ObjectiveValue,ObjectiveBound,Time (Seconds)
cap41,Benders,1041349.05,1023661.7875,6.21970796585083
cap41,Complete Model,1040444.375,1040444.375,1.31897401809692
cap42,Benders,1101349.05,1083427.9875,2.55798196792603
cap42,Complete Model,1098000.45,1097937.22940407,0.189157009124756
cap43,Benders,1153000.45,1146252.175,2.47859597206116
cap43,Complete Model,1153000.45,1153000.45,0.646692037582398
cap44,Benders,1271691.825,1306559.2,0.304818153381348
cap44,Complete Model,1235500.45,1235500.45,2.06289005279541
cap51,Benders,1043109.9,947959.125,3.38861298561096
cap51,Complete Model,1025208.225,1025208.225,0.205762147903442
cap61,Benders,939432.95,845080.787499999,3.16107296943665
cap61,Complete Model,932615.75,932615.75,0.0469419956207275
cap62,Benders,1002415.9125,880080.7875,3.36790609359741
cap62,Complete Model,977799.4,977799.4,0.0474960803985596
cap63,Benders,1042925.5125,900547.625,3.40303301811218
cap63,Complete Model,1014062.05,1014062.05,0.197882175445557
cap64,Benders,1090795.075,915634.05,3.50138688087463
cap64,Complete Model,1045650.25,1045558.02416704,0.0738430023193359
cap71,Benders,995696.325000005,37499.9999999999,2.72217297554016
cap71,Complete Model,932615.75,932615.75,0.034343957901001
cap72,Benders,1002532.38750001,62500,2.84682297706604
cap72,Complete Model,977799.4,977799.4,0.0336029529571533
cap73,Benders,1021666.225,87500,2.78133583068848
cap73,Complete Model,1010641.45,1010641.45,0.036351203918457
cap74,Benders,1047497.5875,125000,2.44313812255859
cap74,Complete Model,1034976.975,1034976.975,0.0338799953460693
cap81,Benders,856171.9,768719.787499996,7.74505186080933
cap81,Complete Model,838499.2875,838499.2875,0.522718906402588
cap82,Benders,946004.25,655134.375,6.15900015830994
cap82,Complete Model,910889.5625,910825.473905599,0.416104078292847
cap83,Benders,997945.4,878687.1375,12.6430678367615
cap83,Complete Model,975889.5625,975830.383925202,0.31050705909729
cap84,Benders,1245673.13750027,349999.999999936,5.90623998641968
cap84,Complete Model,1069369.525,1069276.56805525,6.34511280059814
cap91,Benders,820121.662500001,217658.625,9.30024981498718
cap91,Complete Model,796648.4375,796648.4375,0.0707681179046631
cap92,Benders,880679.95,441871.075,13.8917112350464
cap92,Complete Model,855733.5,855733.5,0.168735980987549
cap93,Benders,916945.762500001,365963.2125,14.1154470443726
cap93,Complete Model,896617.5375,896617.5375,0.198800086975098
cap94,Benders,1012758.3375,301199.7875,14.7517268657684
cap94,Complete Model,946051.325,946051.325,0.198258876800537
cap101,Benders,894103.925000001,22500,3.52876710891724
cap101,Complete Model,796648.4375,796648.4375,0.0462250709533691
cap102,Benders,924969.1875,37500,3.4643669128418
cap102,Complete Model,854704.2,854704.2,0.0493869781494141
cap103,Benders,959028.824999998,52500,3.30589985847473
cap103,Complete Model,893782.1125,893782.1125,0.0525529384613037
cap104,Benders,983186.625,75000,3.49495100975037
cap104,Complete Model,928941.75,928941.75,0.0484788417816162
